"subj","wordNo","readTimes","word","item","quant","pred","itemtype"
"subj1",1,553,"A","filler-item21",NA,NA,"filler"
"subj1",2,520,"priest","filler-item21",NA,NA,"filler"
"subj1",3,567,"decided","filler-item21",NA,NA,"filler"
"subj1",4,448,"to","filler-item21",NA,NA,"filler"
"subj1",5,552,"leave","filler-item21",NA,NA,"filler"
"subj1",6,520,"his","filler-item21",NA,NA,"filler"
"subj1",7,488,"parish","filler-item21",NA,NA,"filler"
"subj1",8,560,"because","filler-item21",NA,NA,"filler"
"subj1",9,472,"he","filler-item21",NA,NA,"filler"
"subj1",10,488,"was","filler-item21",NA,NA,"filler"
"subj1",11,424,"unhappy","filler-item21",NA,NA,"filler"
"subj1",12,472,"with","filler-item21",NA,NA,"filler"
"subj1",13,488,"the","filler-item21",NA,NA,"filler"
"subj1",14,401,"local","filler-item21",NA,NA,"filler"
"subj1",15,439,"church-goers.","filler-item21",NA,NA,"filler"
"subj1",1,400,"Last","filler-item22",NA,NA,"filler"
"subj1",2,488,"summer%2C","filler-item22",NA,NA,"filler"
"subj1",3,448,"only","filler-item22",NA,NA,"filler"
"subj1",4,376,"one","filler-item22",NA,NA,"filler"
"subj1",5,472,"journalist","filler-item22",NA,NA,"filler"
"subj1",6,480,"was","filler-item22",NA,NA,"filler"
"subj1",7,488,"allowed","filler-item22",NA,NA,"filler"
"subj1",8,416,"to","filler-item22",NA,NA,"filler"
"subj1",9,472,"interview","filler-item22",NA,NA,"filler"
"subj1",10,528,"each","filler-item22",NA,NA,"filler"
"subj1",11,488,"famous","filler-item22",NA,NA,"filler"
"subj1",12,528,"rock","filler-item22",NA,NA,"filler"
"subj1",13,1216,"star.","filler-item22",NA,NA,"filler"
"subj1",1,648,"All","filler-item20",NA,NA,"filler"
"subj1",2,416,"the","filler-item20",NA,NA,"filler"
"subj1",3,416,"plates","filler-item20",NA,NA,"filler"
"subj1",4,384,"used","filler-item20",NA,NA,"filler"
"subj1",5,440,"in","filler-item20",NA,NA,"filler"
"subj1",6,368,"the","filler-item20",NA,NA,"filler"
"subj1",7,456,"restaurant","filler-item20",NA,NA,"filler"
"subj1",8,712,"were","filler-item20",NA,NA,"filler"
"subj1",9,800,"bought","filler-item20",NA,NA,"filler"
"subj1",10,408,"at","filler-item20",NA,NA,"filler"
"subj1",11,408,"a","filler-item20",NA,NA,"filler"
"subj1",12,448,"thrift","filler-item20",NA,NA,"filler"
"subj1",13,863,"store.","filler-item20",NA,NA,"filler"
"subj1",1,640,"The","filler-item12",NA,NA,"filler"
"subj1",2,672,"mother","filler-item12",NA,NA,"filler"
"subj1",3,592,"cat","filler-item12",NA,NA,"filler"
"subj1",4,648,"licked","filler-item12",NA,NA,"filler"
"subj1",5,408,"the","filler-item12",NA,NA,"filler"
"subj1",6,504,"kittens","filler-item12",NA,NA,"filler"
"subj1",7,552,"clean","filler-item12",NA,NA,"filler"
"subj1",8,752,"very","filler-item12",NA,NA,"filler"
"subj1",9,776,"often.","filler-item12",NA,NA,"filler"
"subj1",1,376,"The","filler-item5",NA,NA,"filler"
"subj1",2,352,"nannies","filler-item5",NA,NA,"filler"
"subj1",3,456,"punished","filler-item5",NA,NA,"filler"
"subj1",4,376,"each","filler-item5",NA,NA,"filler"
"subj1",5,368,"hyperactive","filler-item5",NA,NA,"filler"
"subj1",6,520,"child","filler-item5",NA,NA,"filler"
"subj1",7,968,"yesterday.","filler-item5",NA,NA,"filler"
"subj1",1,399,"Every","filler-item11",NA,NA,"filler"
"subj1",2,408,"violin","filler-item11",NA,NA,"filler"
"subj1",3,424,"in","filler-item11",NA,NA,"filler"
"subj1",4,344,"this","filler-item11",NA,NA,"filler"
"subj1",5,400,"orchestra","filler-item11",NA,NA,"filler"
